Energy Storage Assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allow Pumped Storage Build,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allow Battery Storage Build,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Include Storage Mandate,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Storage Mandate Duration (hr),4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Specified Pumped Storage Duration (hr),12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Specified Li Battery Duration (hr),4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Specified Flow Battery Duration (hr),6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technology,Round-Trip Efficiency,Charging Efficiency,Discharging Efficiency,Minimum duration (hrs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Li_Battery,0.85,0.9219544457292888,0.9219544457292888,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Flow_Battery,0.7,0.8366600265340756,0.8366600265340756,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pumped_Hydro,0.81,0.9,0.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planned build (treated as sunk cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Storage Mandate Scenarios (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAISO Storage Mandate Case,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,1825 MW by 2024,,,200.0,478.0,646.375,814.75,983.125,1151.5,1319.875,1488.25,1656.625,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0,1825.0
,,1325 MW by 2024,,,200.0,478.0,583.875,689.75,795.625,901.5,1007.375,1113.25,1219.125,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0
,,None,,,200.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0
,,Active : None,,,200.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Planned Installed Discharge Capacities (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,Technology,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_Existing_Pumped_Storage,Pumped_Hydro,,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0,1832.0
,,CAISO_Storage_Mandate,Li_Battery,,200.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0
,,CAISO_New_Pumped_Storage,Pumped_Hydro,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO_New_Flow_Battery,Flow_Battery,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO_New_Li_Battery,Li_Battery,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Planned Installed Energy Capacities (MWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,Technology,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_Existing_Pumped_Storage,Pumped_Hydro,,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0,289625.0
,,CAISO_Storage_Mandate,Li_Battery,,800.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0
,,CAISO_New_Pumped_Storage,Pumped_Hydro,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO_New_Li_Battery,Flow_Battery,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO_New_Flow_Battery,Li_Battery,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,User Specified build (will incur costs as specified below),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Planned Installed Discharge Capacities (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_New_Pumped_Storage,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO_New_Flow_Battery,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO_New_Li_Battery,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Planned Installed Energy Capacities (MWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_New_Pumped_Storage,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO_New_Li_Battery,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,CAISO_New_Flow_Battery,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource Potential (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_New_Pumped_Storage,,,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
,,CAISO_New_Li_Battery,,,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
,,CAISO_New_Flow_Battery,,,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Maximum Build, Adjusted for User Specified Resource Build (MW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_New_Pumped_Storage,,,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
,,CAISO_New_Li_Battery,,,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
,,CAISO_New_Flow_Battery,,,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Storage Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fixed Costs by Candidate Resource - Capacity ($/kW-yr) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RESOLVE Resource Name,Name in Cost Calculator,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_New_Pumped_Storage,Pumped Storage [Capacity],,129.89987235223745,133.0250340534564,136.097784800966,139.20748842899224,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226,139.20748842899226
,,CAISO_New_Li_Battery,Battery - Li [Capacity],,31.972557160664447,32.27115435870816,30.62774118911076,29.28715284486926,27.641807179427182,25.996461513985082,24.68018498163141,23.363908449277734,22.70577018310089,21.718562783835637,21.060424517658802,20.731355384570378,20.402286251481964,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547,20.073217118393547
,,CAISO_New_Flow_Battery,Battery - Flow [Capacity],,263.852579019668,269.7348104464213,261.7379648315487,250.55588599967675,236.47971262890835,225.2187739322937,213.95783523567906,202.69689653906426,197.06642719075697,188.620723168296,185.80548849414228,180.17501914583494,177.35978447168122,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762,174.54454979752762
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fixed Costs Candidate Resource - Energy ($/kWh-yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RESOLVE Resource Name,Name in Cost Calculator,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
,,CAISO_New_Pumped_Storage,Pumped Storage [Energy],,10.637987235223747,10.950503405345643,11.257778480096599,11.568748842899224,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227,11.568748842899227
,,CAISO_New_Li_Battery,Battery - Li [Energy],,99.05223592918784,99.97730175860508,94.8859433106056,90.73274804722838,85.63540265131672,80.53805725540501,76.46018093867565,72.38230462194628,70.34336646358159,67.28495922603457,65.24602106766989,64.22655198848754,63.2070829093052,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287,62.18761383012287
,,CAISO_New_Flow_Battery,Battery - Flow [Energy],,36.40106650733684,37.21257836813557,36.109334616805064,34.56665651692979,32.62470952159666,31.071151925330145,29.517594329063645,27.964036732797133,27.18725793466388,26.022089737464004,25.633700338397375,24.856921540264125,24.468532141197493,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087,24.08014274213087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage Mandate Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Incremental Storage Mandate Batteries (MW),,,200.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Incremental Storage Mandate Batteries (MWh),,,800.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Incremental Storage Mandate Cost ($MM),,,85.63630017548316,120.14614046728973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Cumulative Storage Mandate Costs ($MM),,,85.63630017548316,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288,205.78244064277288
