resource,period,capacity_limit_mw
CAISO_Shed_DR_Tranche1,2018,1015.07207
CAISO_Shed_DR_Tranche1,2022,1015.07207
CAISO_Shed_DR_Tranche1,2026,1015.07207
CAISO_Shed_DR_Tranche1,2030,1015.07207
CAISO_Shed_DR_Tranche2,2018,845.019769
CAISO_Shed_DR_Tranche2,2022,845.019769
CAISO_Shed_DR_Tranche2,2026,845.019769
CAISO_Shed_DR_Tranche2,2030,845.019769
CAISO_Shed_DR_Tranche3,2018,776.063275
CAISO_Shed_DR_Tranche3,2022,776.063275
CAISO_Shed_DR_Tranche3,2026,776.063275
CAISO_Shed_DR_Tranche3,2030,776.063275
CAISO_Shed_DR_Tranche4,2018,670.511618
CAISO_Shed_DR_Tranche4,2022,670.511618
CAISO_Shed_DR_Tranche4,2026,670.511618
CAISO_Shed_DR_Tranche4,2030,670.511618
CAISO_Shed_DR_Tranche5,2018,605.067567
CAISO_Shed_DR_Tranche5,2022,605.067567
CAISO_Shed_DR_Tranche5,2026,605.067567
CAISO_Shed_DR_Tranche5,2030,605.067567
CAISO_Shed_DR_Tranche6,2018,440.637926
CAISO_Shed_DR_Tranche6,2022,440.637926
CAISO_Shed_DR_Tranche6,2026,440.637926
CAISO_Shed_DR_Tranche6,2030,440.637926
CAISO_Shed_DR_Tranche7,2018,339.031366
CAISO_Shed_DR_Tranche7,2022,339.031366
CAISO_Shed_DR_Tranche7,2026,339.031366
CAISO_Shed_DR_Tranche7,2030,339.031366
CAISO_Shed_DR_Tranche8,2018,250.370835
CAISO_Shed_DR_Tranche8,2022,250.370835
CAISO_Shed_DR_Tranche8,2026,250.370835
CAISO_Shed_DR_Tranche8,2030,250.370835
CAISO_New_Pumped_Storage,2018,0
CAISO_New_Pumped_Storage,2022,2000
CAISO_New_Pumped_Storage,2026,4000
CAISO_New_Pumped_Storage,2030,4000
CAISO_New_Flow_Battery,2018,99999
CAISO_New_Flow_Battery,2022,99999
CAISO_New_Flow_Battery,2026,99999
CAISO_New_Flow_Battery,2030,99999
CAISO_New_Li_Battery,2018,99999
CAISO_New_Li_Battery,2022,99999
CAISO_New_Li_Battery,2026,99999
CAISO_New_Li_Battery,2030,99999
Northern_California_Solar,2018,19705.83345
Northern_California_Solar,2022,19705.83345
Northern_California_Solar,2026,19705.83345
Northern_California_Solar,2030,19705.83345
Solano_Solar,2018,2603.222095
Solano_Solar,2022,2603.222095
Solano_Solar,2026,2603.222095
Solano_Solar,2030,2603.222095
Central_Valley_North_Los_Banos_Solar,2018,1263.140185
Central_Valley_North_Los_Banos_Solar,2022,1263.140185
Central_Valley_North_Los_Banos_Solar,2026,1263.140185
Central_Valley_North_Los_Banos_Solar,2030,1263.140185
Westlands_Solar,2018,15689.44769
Westlands_Solar,2022,15689.44769
Westlands_Solar,2026,15689.44769
Westlands_Solar,2030,15689.44769
Greater_Carrizo_Solar,2018,3805.725532
Greater_Carrizo_Solar,2022,3805.725532
Greater_Carrizo_Solar,2026,3805.725532
Greater_Carrizo_Solar,2030,3805.725532
Tehachapi_Solar,2018,1018.001052
Tehachapi_Solar,2022,1018.001052
Tehachapi_Solar,2026,1018.001052
Tehachapi_Solar,2030,1018.001052
Kramer_Inyokern_Solar,2018,6872.827333
Kramer_Inyokern_Solar,2022,6872.827333
Kramer_Inyokern_Solar,2026,6872.827333
Kramer_Inyokern_Solar,2030,6872.827333
Mountain_Pass_El_Dorado_Solar,2018,62.11731162
Mountain_Pass_El_Dorado_Solar,2022,62.11731162
Mountain_Pass_El_Dorado_Solar,2026,62.11731162
Mountain_Pass_El_Dorado_Solar,2030,62.11731162
Southern_California_Desert_Solar,2018,12009.1161
Southern_California_Desert_Solar,2022,12009.1161
Southern_California_Desert_Solar,2026,12009.1161
Southern_California_Desert_Solar,2030,12009.1161
Riverside_East_Palm_Springs_Solar,2018,14250.4254
Riverside_East_Palm_Springs_Solar,2022,14250.4254
Riverside_East_Palm_Springs_Solar,2026,14250.4254
Riverside_East_Palm_Springs_Solar,2030,14250.4254
Greater_Imperial_Solar,2018,8787.060204
Greater_Imperial_Solar,2022,8787.060204
Greater_Imperial_Solar,2026,8787.060204
Greater_Imperial_Solar,2030,8787.060204
Distributed_Solar,2018,36233.10114
Distributed_Solar,2022,36233.10114
Distributed_Solar,2026,36233.10114
Distributed_Solar,2030,36233.10114
Southern_Nevada_Solar,2018,36853.37407
Southern_Nevada_Solar,2022,36853.37407
Southern_Nevada_Solar,2026,36853.37407
Southern_Nevada_Solar,2030,36853.37407
Solano_Wind,2018,642.9134867
Solano_Wind,2022,642.9134867
Solano_Wind,2026,642.9134867
Solano_Wind,2030,642.9134867
Central_Valley_North_Los_Banos_Wind,2018,145.9102913
Central_Valley_North_Los_Banos_Wind,2022,145.9102913
Central_Valley_North_Los_Banos_Wind,2026,145.9102913
Central_Valley_North_Los_Banos_Wind,2030,145.9102913
Greater_Carrizo_Wind,2018,1093.980407
Greater_Carrizo_Wind,2022,1093.980407
Greater_Carrizo_Wind,2026,1093.980407
Greater_Carrizo_Wind,2030,1093.980407
Tehachapi_Wind,2018,156.9905138
Tehachapi_Wind,2022,156.9905138
Tehachapi_Wind,2026,156.9905138
Tehachapi_Wind,2030,156.9905138
Riverside_East_Palm_Springs_Wind,2018,41.99801235
Riverside_East_Palm_Springs_Wind,2022,41.99801235
Riverside_East_Palm_Springs_Wind,2026,41.99801235
Riverside_East_Palm_Springs_Wind,2030,41.99801235
Distributed_Wind,2018,253.0730464
Distributed_Wind,2022,253.0730464
Distributed_Wind,2026,253.0730464
Distributed_Wind,2030,253.0730464
NW_Ext_Tx_Wind,2018,1500.086637
NW_Ext_Tx_Wind,2022,1500.086637
NW_Ext_Tx_Wind,2026,1500.086637
NW_Ext_Tx_Wind,2030,1500.086637
Southern_Nevada_Wind,2018,441.9318172
Southern_Nevada_Wind,2022,441.9318172
Southern_Nevada_Wind,2026,441.9318172
Southern_Nevada_Wind,2030,441.9318172
SW_Ext_Tx_Wind,2018,499.7700573
SW_Ext_Tx_Wind,2022,499.7700573
SW_Ext_Tx_Wind,2026,499.7700573
SW_Ext_Tx_Wind,2030,499.7700573
InState_Biomass,2018,1106.196673
InState_Biomass,2022,1106.196673
InState_Biomass,2026,1106.196673
InState_Biomass,2030,1106.196673
Greater_Imperial_Geothermal,2018,0
Greater_Imperial_Geothermal,2022,1123.965799
Greater_Imperial_Geothermal,2026,1123.965799
Greater_Imperial_Geothermal,2030,1123.965799
Northern_California_Geothermal,2018,0
Northern_California_Geothermal,2022,339.2
Northern_California_Geothermal,2026,339.2
Northern_California_Geothermal,2030,339.2
Southern_Nevada_Geothermal,2018,256
Southern_Nevada_Geothermal,2022,256
Southern_Nevada_Geothermal,2026,256
Southern_Nevada_Geothermal,2030,256