plant,RESOLVE type,baseload_flag,minimum_input_mmbtu_per_hr,inc_heat_rate_mmbtu_mwh,min_stable_level,unit_size_mw,startup_cost_per_mw_committed,shutdown_cost_per_mw_committed,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,variable_cost_per_mwh,full_load_heat_rate,tech,nqc_fraction,fixed_cost,total_capacity,lca_zone,operational_type,capacity_type,onine_year,retirement_year,ramp_up_when_on_rate,ramp_down_when_on_rate
Agnews,CAISO_CCGT1,1,213.7290602,6.489,0.99,28,41.87395181,41.87395181,0.99,0.99,5.7,7.698070723,CHP,1,10,28,Bay_Area,must_run,existing_gen_no_economic_retirement,,,0.409638554,0.408433735
AguaMansa,CAISO_Peaker2,0,175.652,9.456,0.3,43,16.96160465,16.96160465,7.441860465,7.441860465,5,10.70413023,Peaker,1,6,43,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,7.441860465,7.441860465
Alameda,CAISO_Peaker2,0,127.8615325,9.375684895,0.45,24.6,16.96160039,16.96160039,6.299212598,6.299212598,5,10.35424996,Peaker,0.979674797,6,49.2,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.299212598,6.299212598
Alamitos,CAISO_CCGT1,0,1301.333333,6,0.2,640,25,25,0.598646338,0.598646338,5.7,6.833333333,CCGT,1,10,640,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,2020,,0.598646338,0.598646338
Anaheim,CAISO_Peaker2,0,264.922698,10.96359165,0.45,42.81,16.96159553,16.96159553,3.25203252,3.25203252,5,12.2183122,Peaker,0.949310909,6,42.81,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.25203252,3.25203252
BadgerCreek,CAISO_Peaker1,1,414.4528731,5.597,0.99,47.49,54.59515371,54.59515371,1.555153707,1.555153707,5,8.78313094,CHP,0.926510844,6,47.49,Kern,must_run,existing_gen_no_economic_retirement,,,1.555153707,1.555153707
Barre,CAISO_Peaker1,0,292.6817203,9.387230769,0.6,47,16.96160204,16.96160204,6.530612245,6.530612245,5,9.982162951,Peaker,1,6,47,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.530612245,6.530612245
BearMountain,CAISO_Peaker2,1,566.7935794,5.597,0.99,47.49,16.96160036,16.96160036,2.495479204,2.488245931,5,11.99097904,CHP,0.989682038,6,47.49,Kern,must_run,existing_gen_no_economic_retirement,,,2.495479204,2.488245931
Blythe,CAISO_CCGT2,0,2298.226783,5.71901351,0.58665619,493.63,44.66475238,44.66475238,0.891428571,0.891428571,5.7,7.019686882,CCGT,0.992646314,10,493.63,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.891428571,0.891428571
Border,CAISO_Peaker2,0,263.3885799,9.360297243,0.45,51.25,54.59514612,54.59514612,3.20256205,3.20256205,5,10.28745285,Peaker,0.936585366,6,51.25,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.20256205,3.20256205
Enterprise,CAISO_Peaker2,0,247.0859351,9.462551241,0.45,48.04,54.59514925,54.59514925,3.411513859,3.411513859,5,10.34774072,Peaker,0.999167361,6,48.04,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.411513859,3.411513859
CalPeakPanoche,CAISO_Peaker2,0,269.1778476,9.323236749,0.45,52.01,16.96160204,16.96160204,3.265306122,3.265306122,5,10.30328199,Peaker,0.922899442,6,52.01,Fresno,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.265306122,3.265306122
VacaDixon,CAISO_Peaker2,0,191.0865567,9.316448276,0.3,50.61,16.96160033,16.96160033,3.299649412,3.299649412,5,10.29718178,Peaker,0.948429164,6,50.61,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.299649412,3.299649412
Canyon,CAISO_Peaker1,0,296.3818132,5.339771429,0.45,49.4,16.96159596,16.96159596,6.464646465,6.464646465,5,8.936506133,Peaker,0.98582996,6,197.6,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.464646465,6.464646465
Carson,CAISO_CCGT1,1,366.3931288,6.489,0.99,48,41.87394683,41.87394683,0.99,0.99,5.7,7.698080184,CHP,1,10,48,LA_Basin,must_run,existing_gen_no_economic_retirement,,,0.449897751,0.460122699
Center,CAISO_Peaker1,0,292.6817203,9.387230769,0.6,47,16.96160204,16.96160204,6.530612245,6.530612245,5,9.982162951,Peaker,1,6,47,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.530612245,6.530612245
Century,CAISO_Peaker1,0,62.28174903,4.686371429,0.45,10.35,16.9616,16.9616,6.697674419,6.697674419,5,8.595064579,Peaker,0.869565217,6,41.4,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.697674419,6.697674419
ChalkCliff,CAISO_Peaker2,1,568.9008958,5.597,0.99,47.49,16.9615971,16.9615971,1.742286751,1.742286751,5,12.03535294,CHP,0.968624974,6,47.49,CAISO_System,must_run,existing_gen_no_economic_retirement,,,1.742286751,1.742286751
ChulaVista,CAISO_Peaker2,0,183.3833698,10.99430435,0.3,35.5,16.961597,16.961597,3.634711495,3.634711495,5,12.86174177,Peaker,1,6,35.5,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.634711495,3.634711495
Clearwater,CAISO_CCGT2,0,125.0794286,7.86,0.45,28,41.87394898,41.87394898,3.06122449,3.06122449,5.7,8.790122449,CCGT,1,10,28,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.06122449,3.06122449
Colusa,CAISO_CCGT1,0,2672.611714,6.470059161,0.573636744,641,44.79334979,44.79334979,0.573636744,0.573636744,5.7,6.928036538,CCGT,0.941965679,10,641,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.493716338,0.493716338
Creed,CAISO_Peaker2,0,249.2882112,9.380971396,0.45,48,16.96160321,16.96160321,3.206412826,3.206412826,5,10.35303867,Peaker,1,6,48,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.206412826,3.206412826
Cuyamaca,CAISO_Peaker1,0,240.2574088,6.11704,0.3,45.42,5,5,3.7508098,3.7508098,5,9.571611152,Peaker,1,6,45.42,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.7508098,3.7508098
Delta,CAISO_CCGT1,0,4163.495636,6.20599959,0.655126121,880,51.36922377,51.36922377,0.655126121,0.655126121,5.7,6.87153219,CCGT,0.923863636,10,880,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.518788194,0.518788194
DesertStar,CAISO_CCGT1,0,2182.785281,6.368827406,0.60845987,494.58,46.32476139,46.32476139,0.67462039,0.675488069,5.7,6.907063459,CCGT,0.847688948,10,494.58,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.67462039,0.675488069
DonaldVonRaesfeld,CAISO_CCGT2,0,689.8506186,6.7934,0.55,147.8,41.87396373,41.87396373,0.971502591,0.971502591,5.7,7.724490207,CCGT,1,10,147.8,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.971502591,0.971502591
HighSierra,CAISO_Peaker2,1,295.8931842,5.597,0.99,26.215,16.96159204,16.96159204,3.250414594,3.250414594,5,11.34314086,CHP,0.995613199,6,52.43,Kern,must_run,existing_gen_no_economic_retirement,,,3.250414594,3.250414594
Drews,CAISO_Peaker1,0,62.28417332,4.686371429,0.45,10.35,16.96159821,16.96159821,6.428571429,6.428571429,5,8.59529881,Peaker,0.869565217,6,41.4,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.428571429,6.428571429
ElCajonGT,CAISO_Peaker2,0,120.5771264,10.325,0.48,16.36,87.35221333,87.35221333,17.06666667,17.06666667,5,12.73924,Peaker,0.97799511,6,16.36,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,17.06666667,17.06666667
ElCajonEC,CAISO_Peaker2,0,253.246982,9.264,0.45,48.1,54.5951503,54.5951503,3.206412826,3.206412826,5,10.36021002,Peaker,1,6,48.1,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.206412826,3.206412826
ElSegundo,CAISO_CCGT2,0,1113.802504,6.1562,0.55,263.34,41.87394737,41.87394737,0.55,0.55,5.7,6.999812684,CCGT,1,10,526.68,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.484210526,0.48245614
ElkHills,CAISO_CCGT1,0,2379.420415,6.206,0.587714286,551.7,44.74530476,44.74530476,0.587714286,0.587714286,5.7,6.871533333,CCGT,0.770346203,10,551.7,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.293333333,0.292571429
Ellwood,CAISO_Peaker2,0,297.0889271,13.57617241,0.3,54,54.59515179,54.59515179,1.428571429,1.428571429,5,15.00496749,Peaker,1,6,54,Big_Creek_Ventura,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.428571429,1.428571429
Carlsbad,CAISO_Peaker1,0,2644.841576,6.11704,0.3,500,5,5,0.969601639,0.969601639,5,9.571611152,Peaker,1,6,500,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,2018,,0.969601639,0.969601639
FeatherRiver,CAISO_Peaker1,0,277.8389581,5.295857143,0.45,46.3,16.96160321,16.96160321,6.673346693,6.681362725,5,8.913562855,Peaker,0.971922246,6,46.3,Sierra,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.673346693,6.681362725
FresnoCogen,CAISO_CCGT2,0,258.0300416,7.4224,0.55,50.6,41.87395151,41.87395151,0.55,0.55,5.7,8.439487937,CHP,0.998023715,10,50.6,Fresno,always_on,existing_gen_no_economic_retirement,,,0.157273919,0.163826999
FresnoPeaker,CAISO_Peaker2,0,116.3942,9.6,0.45,22.69,16.96159982,16.96159982,7.051564566,7.051564566,5,10.4097576,CHP,0.881445571,6,22.69,Fresno,dispatchable_capacity_commit,existing_gen_no_economic_retirement,,,7.051564566,7.051564566
Gateway,CAISO_CCGT1,0,2272.874111,6.206,0.54384984,562.5,46.0063454,46.0063454,0.54384984,0.54384984,5.7,6.871532978,CCGT,0.988266667,10,562.5,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.470358537,0.470358537
Gianera,CAISO_Peaker2,0,128.7308622,9.36998863,0.45,24.75,16.9616,16.9616,6.464646465,6.464646465,5,10.3547407,Peaker,0.96969697,6,49.5,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.464646465,6.464646465
GilroyCogen,CAISO_CCGT1,0,417.4216581,5.862395098,0.5034615,120,41.87396429,41.87396429,0.5034615,0.5034615,5.7,6.389418686,CHP,0.875,10,120,Bay_Area,always_on,existing_gen_no_economic_retirement,,,0.371428571,0.375
GilroyPeaker,CAISO_Peaker2,0,234.8864091,11.25872414,0.3,47.2,16.96160321,16.96160321,1.603206413,1.603206413,5,12.85751387,Peaker,1,6,141.6,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.603206413,1.603206413
GlenArm12,CAISO_Peaker2,0,325.6950976,5.597,0.3,22.185,16.96159254,16.96159254,5.232177894,5.232177894,5,18.59876985,Peaker,1,6,44.37,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,5.232177894,5.232177894
GlenArm34,CAISO_Peaker1,0,151.2258279,8.553672414,0.3,43.625,16.96159619,16.96159619,1.691331924,1.691331924,5,9.454065313,Peaker,1,6,87.25,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.691331924,1.691331924
GlenArm5,CAISO_Peaker2,0,362.7195442,5.846758621,0.3,65,11.29976761,11.29976761,1.126760563,1.126760563,5,9.673031714,Peaker,1,6,65,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.126760563,1.126760563
GooseHaven,CAISO_Peaker2,0,238.3635705,11.2725594,0.30000006,48,16.96160661,16.96160661,3.206413468,3.206413468,5,12.85669862,Peaker,1,6,48,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.206413468,3.206413468
Grapeland,CAISO_Peaker1,0,215.2803287,9.63268147,0.45,46,16.96160204,16.96160204,6.530612245,6.530612245,5,9.977981955,Peaker,1,6,46,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.530612245,6.530612245
Henrietta,CAISO_Peaker2,0,255.9510772,9.45053753,0.45,49.7,16.96160204,16.96160204,1.632653061,1.632653061,5,10.34771671,Peaker,0.911066398,6,99.4,Fresno,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.632653061,1.632653061
HGonzalez,CAISO_Peaker1,0,14.43916102,7.652,0.3,5.75,16.96160085,16.96160085,10.30213707,10.30213707,5,7.867558438,Peaker,1,6,11.5,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,10.30213707,10.30213707
Hanford,CAISO_Peaker2,0,256.0662492,9.370007067,0.45,49.23,16.96160417,16.96160417,1.666666667,1.666666667,5,10.35493085,Peaker,0.857200894,6,98.46,Fresno,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.666666667,1.666666667
Harbor,CAISO_CCGT2,0,510.1085481,6.8111,0.55,109.01,41.8739531,41.8739531,0.55,0.55,5.7,7.744460628,CCGT,0.917347032,10,109.01,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.549041504,0.549041504
HighDesert,CAISO_CCGT1,0,3394.873089,6.294389984,0.554737495,830,45.79511321,45.79511321,0.554737495,0.554737495,5.7,6.892864392,CCGT,0.898795181,10,830,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.335166944,0.334655239
LongBeach,CAISO_Peaker2,0,530.5077143,12.303,0.6,65,16.9616,16.9616,4.571428571,4.571428571,5,13.08285714,Peaker,1,6,260,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,4.571428571,4.571428571
HuntingtonBeach,CAISO_CCGT1,0,1309.466667,6,0.2,644,25,25,0.596516635,0.596516635,5.7,6.833333333,CCGT,1,10,644,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,2020,,0.596516635,0.596516635
Indigo1,CAISO_Peaker2,0,265.057696,11.20804364,0.45,44,16.9616,16.9616,3.555555556,3.555555556,5,12.18846255,Peaker,0.954545455,6,44,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.555555556,3.555555556
Indigo23,CAISO_Peaker2,0,524.1065691,7.763371429,0.45,44.11,16.9616,16.9616,3.555555556,3.555555556,5,16.1516627,Peaker,0.952165042,6,88.22,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.555555556,3.555555556
InlandEmpire,CAISO_CCGT1,0,1563.451476,5.701812897,0.600405697,371.26,45.71156092,45.71156092,0.700810241,0.600405697,5.7,6.489615624,CCGT,0.902332597,10,742.52,LA_Basin,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.700810241,0.404313601
Kearny,CAISO_Peaker2,0,322.6706723,6.11704,0.3,61,5,5,3.176043166,3.176043166,5,9.571611152,Peaker,1,6,61,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.176043166,3.176043166
KernRiver,CAISO_Peaker1,0,351.769201,5.150168908,0.77,79.74,54.59515,54.59515,0.77,0.77,5,5.595991081,CHP,0.958897667,6,318.96,Big_Creek_Ventura,always_on,existing_gen_no_economic_retirement,,,0.657142857,0.65
KingCity,CAISO_Peaker2,0,231.9839347,9.370007067,0.45,44.6,16.96160321,16.96160321,1.603206413,1.603206413,5,10.3549374,Peaker,1,6,44.6,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.603206413,1.603206413
LaPaloma,CAISO_CCGT1,0,1193.42149,6.205923753,0.635452605,258.9225,44.34817762,44.34817762,1.510055381,1.510055381,5.7,6.871537514,CCGT,1,10,1035.69,CAISO_System,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,1.510055381,1.510055381
Lambie,CAISO_Peaker2,0,238.3635705,11.2725594,0.30000006,48,16.96160661,16.96160661,9.619240405,9.619240405,5,12.85669862,Peaker,1,6,48,Bay_Area,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,9.619240405,9.619240405
Larkspur,CAISO_Peaker1,0,227.8271883,8.724600707,0.45,47.04,54.59514444,54.59514444,3.555555556,3.555555556,5,9.641795446,Peaker,0.977891156,6,94.08,San_Diego,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,3.555555556,3.555555556
LiveOak,CAISO_Peaker2,1,536.0315669,5.597,0.99,47.49,16.96160036,16.96160036,1.735985533,1.735985533,5,11.34322136,CHP,0.943356496,6,47.49,Kern,must_run,existing_gen_no_economic_retirement,,,1.735985533,1.735985533
LodiCC,CAISO_CCGT1,0,799.7371909,8.073,0.45,302.58,41.87395238,41.87395238,0.476190476,0.476190476,5.7,7.083210317,CCGT,0.925375107,10,302.58,Sierra,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,0.476190476,0.476190476
LodiPeaker,CAISO_Peaker2,0,131.5961062,9.370007067,0.45,25.3,16.96160039,16.96160039,6.299212598,6.299212598,5,10.35493101,Peaker,0.897233202,6,25.3,Stockton,dispatchable_capacity_commit,existing_gen_linear_economic_retirement,,,6.299212598,6.299212598
