fuel,period,month,fuel_price_per_mmbtu
Coal,2020,1,2.5
Coal,2020,2,2.5
Coal,2020,3,2.5
Coal,2020,4,2.5
Coal,2020,5,2.5
Coal,2020,6,2.5
Coal,2020,7,2.5
Coal,2020,8,2.5
Coal,2020,9,2.5
Coal,2020,10,2.5
Coal,2020,11,2.5
Coal,2020,12,2.5
Gas,2020,1,5
Gas,2020,2,5
Gas,2020,3,5
Gas,2020,4,5
Gas,2020,5,5
Gas,2020,6,5
Gas,2020,7,5
Gas,2020,8,5
Gas,2020,9,5
Gas,2020,10,5
Gas,2020,11,5
Gas,2020,12,5
Gas,2025,1,5
Gas,2025,2,5
Gas,2025,3,5
Gas,2025,4,5
Gas,2025,5,5
Gas,2025,6,5
Gas,2025,7,5
Gas,2025,8,5
Gas,2025,9,5
Gas,2025,10,5
Gas,2025,11,5
Gas,2025,12,5