project,prm_type,elcc_simple_fraction,contributes_to_elcc_surface,min_duration_for_full_capacity_credit_hours,deliverability_group
CAISO_CHP,fully_deliverable,0.634,0,,
CAISO_Nuclear,fully_deliverable,0.993155481,0,,
CAISO_CCGT1,fully_deliverable,0.939469003,0,,
CAISO_CCGT2,fully_deliverable,0.99987913,0,,
CAISO_Coal,fully_deliverable,0.980062021,0,,
CAISO_Peaker1,fully_deliverable,0.923735531,0,,
CAISO_Peaker2,fully_deliverable,0.961295982,0,,
CAISO_Advanced_CCGT,fully_deliverable,0.95,0,,
CAISO_Aero_CT,fully_deliverable,0.95,0,,
CAISO_Reciprocating_Engine,fully_deliverable,0.997649824,0,,
CAISO_ST,fully_deliverable,0.999563333,0,,
CAISO_Biomass_for_Other,fully_deliverable,0.698,0,,
CAISO_Geothermal_for_Other,fully_deliverable,0.616,0,,
CAISO_Biomass_for_CAISO,fully_deliverable,0.698,0,,
CAISO_Geothermal_for_CAISO,fully_deliverable,0.616,0,,
InState_Biomass,energy_only_allowed,0.85,0,,None
CAISO_Small_Hydro_for_CAISO,fully_deliverable,0.5,0,,
CAISO_Small_Hydro_for_Other,fully_deliverable,0.5,0,,
Greater_Imperial_Geothermal,energy_only_allowed,0.880926234,0,,Greater_Imperial
Inyokern_North_Kramer_Geothermal,energy_only_allowed,0.8,0,,Greater_Kramer
Northern_California_Ex_Geothermal,energy_only_allowed,0.81,0,,Northern_California_Ex
Pacific_Northwest_Geothermal,fully_deliverable,0.843269231,0,,
Riverside_Palm_Springs_Geothermal,energy_only_allowed,0.8,0,,Riverside_Palm_Springs
Solano_Geothermal,energy_only_allowed,0.9,0,,Sacramento_River
Southern_Nevada_Geothermal,energy_only_allowed,0.843269231,0,,Mountain_Pass_El_Dorado
CAISO_Existing_Pumped_Storage,fully_deliverable_energy_limited,1,0,4,
CAISO_New_Pumped_Storage,fully_deliverable_energy_limited,1,0,4,
CAISO_New_Flow_Battery,fully_deliverable_energy_limited,1,0,4,
CAISO_New_Flow_Battery_2,fully_deliverable_energy_limited,0.759,0,4,
CAISO_New_Flow_Battery_3,fully_deliverable_energy_limited,0.499,0,4,
CAISO_New_Flow_Battery_4,fully_deliverable_energy_limited,0.254,0,4,
CAISO_New_Flow_Battery_5,fully_deliverable_energy_limited,0.063,0,4,
CAISO_New_Li_Battery,fully_deliverable_energy_limited,1,0,4,
CAISO_BTM_Li_Battery,fully_deliverable_energy_limited,1,0,4,
CAISO_New_Li_Battery_2,fully_deliverable_energy_limited,0.759,0,4,
CAISO_New_Li_Battery_3,fully_deliverable_energy_limited,0.499,0,4,
CAISO_New_Li_Battery_4,fully_deliverable_energy_limited,0.254,0,4,
CAISO_New_Li_Battery_5,fully_deliverable_energy_limited,0.063,0,4,
CAISO_New_Li_Battery_6,fully_deliverable_energy_limited,0,0,4,
CAISO_Hydro,fully_deliverable,0.84576444,0,,
CAISO_Shed_DR_Existing,fully_deliverable,1,0,,
CAISO_Shed_DR_Tranche1,fully_deliverable,1,0,,
CAISO_Shed_DR_Tranche2,fully_deliverable,1,0,,
CAISO_Shed_DR_Tranche3,fully_deliverable,1,0,,
CAISO_Shed_DR_Tranche4,fully_deliverable,1,0,,
CAISO_Shed_DR_Tranche5,fully_deliverable,1,0,,
CAISO_Shed_DR_Tranche6,fully_deliverable,1,0,,
CAISO_Shed_DR_Tranche7,fully_deliverable,1,0,,
CAISO_Shed_DR_Tranche8,fully_deliverable,1,0,,
Customer_PV,fully_deliverable,0,1,,
CAISO_Solar_for_Other,fully_deliverable,0,1,,
CAISO_Solar_for_CAISO,fully_deliverable,0,1,,
CAISO_Wind_for_Other,fully_deliverable,0,1,,
CAISO_Wind_for_CAISO,fully_deliverable,0,1,,
Carrizo_Solar,energy_only_allowed,0,1,,Carrizo
Carrizo_Wind,energy_only_allowed,0,1,,Carrizo
Central_Valley_North_Los_Banos_Solar,energy_only_allowed,0,1,,Central_Valley_North_Los_Banos
Central_Valley_North_Los_Banos_Wind,energy_only_allowed,0,1,,Central_Valley_North_Los_Banos
Distributed_Solar,energy_only_allowed,0,1,,None
Mountain_Pass_El_Dorado_Solar,fully_deliverable,0,1,,
Greater_Imperial_Solar,energy_only_allowed,0,1,,Greater_Imperial
Greater_Imperial_Wind,energy_only_allowed,0,1,,Greater_Imperial
Greater_Kramer_Wind,energy_only_allowed,0,1,,Greater_Kramer
Humboldt_Wind,energy_only_allowed,0,1,,Humboldt
Inyokern_North_Kramer_Solar,energy_only_allowed,0,1,,Greater_Kramer
Kern_Greater_Carrizo_Solar,energy_only_allowed,0,1,,Kern_Greater_Carrizo
Kern_Greater_Carrizo_Wind,energy_only_allowed,0,1,,Kern_Greater_Carrizo
Kramer_Inyokern_Ex_Solar,energy_only_allowed,0,1,,Kramer_Inyokern_Ex
Kramer_Inyokern_Ex_Wind,energy_only_allowed,0,1,,Kramer_Inyokern_Ex
North_Victor_Solar,energy_only_allowed,0,1,,Greater_Kramer
Northern_California_Ex_Solar,energy_only_allowed,0,1,,Northern_California_Ex
Northern_California_Ex_Wind,energy_only_allowed,0,1,,Sacramento_River
NW_Ext_Tx_Wind,energy_only_allowed,0,1,,Sacramento_River
Riverside_Palm_Springs_Solar,energy_only_allowed,0,1,,Riverside_Palm_Springs
Sacramento_River_Solar,energy_only_allowed,0,1,,Sacramento_River
Sacramento_River_Wind,fully_deliverable,0,1,,
SCADSNV_Solar,energy_only_allowed,0,1,,SCADSNV
SCADSNV_Wind,energy_only_allowed,0,1,,SCADSNV
Solano_Solar,energy_only_allowed,0,1,,Sacramento_River
Solano_subzone_Solar,energy_only_allowed,0,1,,Sacramento_River
Solano_subzone_Wind,energy_only_allowed,0,1,,Sacramento_River
Solano_Wind,energy_only_allowed,0,1,,Sacramento_River
Southern_California_Desert_Ex_Solar,energy_only_allowed,0,1,,Southern_California_Desert_Ex
Southern_California_Desert_Ex_Wind,energy_only_allowed,0,1,,Southern_California_Desert_Ex
Southern_Nevada_Solar,energy_only_allowed,0,1,,GLW_VEA
Southern_Nevada_Wind,energy_only_allowed,0,1,,GLW_VEA
SW_Ext_Tx_Wind,energy_only_allowed,0,1,,Riverside_Palm_Springs
Tehachapi_Ex_Solar,energy_only_allowed,0,1,,Tehachapi_Ex
Tehachapi_Solar,energy_only_allowed,0,1,,Tehachapi
Tehachapi_Wind,energy_only_allowed,0,1,,Tehachapi
Westlands_Ex_Solar,energy_only_allowed,0,1,,Westlands_Ex
Westlands_Ex_Wind,fully_deliverable,0,1,,
Westlands_Solar,energy_only_allowed,0,1,,Central_Valley_North_Los_Banos
Arizona_Solar,energy_only_allowed,0,1,,Riverside_Palm_Springs
Arizona_Wind,fully_deliverable,0,1,,
Baja_California_Solar,fully_deliverable,0,1,,
Baja_California_Wind,energy_only_allowed,0,1,,Greater_Imperial
Idaho_Wind,fully_deliverable,0,1,,
New_Mexico_Solar,fully_deliverable,0,1,,
New_Mexico_Wind,energy_only_allowed,0,1,,Riverside_Palm_Springs
Utah_Solar,fully_deliverable,0,1,,
Utah_Wind,fully_deliverable,0,1,,
Wyoming_Wind,energy_only_allowed,0,1,,Mountain_Pass_El_Dorado
Pacific_Northwest_Wind,fully_deliverable,0,1,,
Diablo_Canyon_Offshore_Wind,fully_deliverable,0,1,,
Humboldt_Bay_Offshore_Wind,fully_deliverable,0,1,,
Morro_Bay_Offshore_Wind,fully_deliverable,0,1,,
Diablo_Canyon_Offshore_Wind_Ext_Tx,fully_deliverable,0,1,,
Cape_Mendocino_Offshore_Wind,fully_deliverable,0,1,,
Del_Norte_Offshore_Wind,fully_deliverable,0,1,,
CAISO_BTM_Li_Battery_Specified,fully_deliverable_energy_limited,1,0,4,