subproblem_id,balancing_type_horizon,horizon,boundary
1,day,20200101,linear
2,day,20200102,linear
3,day,20200103,linear
4,day,20200104,linear
5,day,20200105,linear
6,day,20200106,linear
7,day,20200107,linear
8,day,20200108,linear
9,day,20200109,linear
10,day,20200110,linear
11,day,20200111,linear
12,day,20200112,linear
13,day,20200113,linear
14,day,20200114,linear
15,day,20200115,linear
16,day,20200116,linear
17,day,20200117,linear
18,day,20200118,linear
19,day,20200119,linear
20,day,20200120,linear
21,day,20200121,linear
22,day,20200122,linear
23,day,20200123,linear
24,day,20200124,linear
25,day,20200125,linear
26,day,20200126,linear
27,day,20200127,linear
28,day,20200128,linear
29,day,20200129,linear
30,day,20200130,linear
31,day,20200131,linear
32,day,20200201,linear
33,day,20200202,linear
34,day,20200203,linear
35,day,20200204,linear
36,day,20200205,linear
37,day,20200206,linear
38,day,20200207,linear
39,day,20200208,linear
40,day,20200209,linear
41,day,20200210,linear
42,day,20200211,linear
43,day,20200212,linear
44,day,20200213,linear
45,day,20200214,linear
46,day,20200215,linear
47,day,20200216,linear
48,day,20200217,linear
49,day,20200218,linear
50,day,20200219,linear
51,day,20200220,linear
52,day,20200221,linear
53,day,20200222,linear
54,day,20200223,linear
55,day,20200224,linear
56,day,20200225,linear
57,day,20200226,linear
58,day,20200227,linear
59,day,20200228,linear
60,day,20200229,linear
61,day,20200301,linear
62,day,20200302,linear
63,day,20200303,linear
64,day,20200304,linear
65,day,20200305,linear
66,day,20200306,linear
67,day,20200307,linear
68,day,20200308,linear
69,day,20200309,linear
70,day,20200310,linear
71,day,20200311,linear
72,day,20200312,linear
73,day,20200313,linear
74,day,20200314,linear
75,day,20200315,linear
76,day,20200316,linear
77,day,20200317,linear
78,day,20200318,linear
79,day,20200319,linear
80,day,20200320,linear
81,day,20200321,linear
82,day,20200322,linear
83,day,20200323,linear
84,day,20200324,linear
85,day,20200325,linear
86,day,20200326,linear
87,day,20200327,linear
88,day,20200328,linear
89,day,20200329,linear
90,day,20200330,linear
91,day,20200331,linear
92,day,20200401,linear
93,day,20200402,linear
94,day,20200403,linear
95,day,20200404,linear
96,day,20200405,linear
97,day,20200406,linear
98,day,20200407,linear
99,day,20200408,linear
100,day,20200409,linear
101,day,20200410,linear
102,day,20200411,linear
103,day,20200412,linear
104,day,20200413,linear
105,day,20200414,linear
106,day,20200415,linear
107,day,20200416,linear
108,day,20200417,linear
109,day,20200418,linear
110,day,20200419,linear
111,day,20200420,linear
112,day,20200421,linear
113,day,20200422,linear
114,day,20200423,linear
115,day,20200424,linear
116,day,20200425,linear
117,day,20200426,linear
118,day,20200427,linear
119,day,20200428,linear
120,day,20200429,linear
121,day,20200430,linear
122,day,20200501,linear
123,day,20200502,linear
124,day,20200503,linear
125,day,20200504,linear
126,day,20200505,linear
127,day,20200506,linear
128,day,20200507,linear
129,day,20200508,linear
130,day,20200509,linear
131,day,20200510,linear
132,day,20200511,linear
133,day,20200512,linear
134,day,20200513,linear
135,day,20200514,linear
136,day,20200515,linear
137,day,20200516,linear
138,day,20200517,linear
139,day,20200518,linear
140,day,20200519,linear
141,day,20200520,linear
142,day,20200521,linear
143,day,20200522,linear
144,day,20200523,linear
145,day,20200524,linear
146,day,20200525,linear
147,day,20200526,linear
148,day,20200527,linear
149,day,20200528,linear
150,day,20200529,linear
151,day,20200530,linear
152,day,20200531,linear
153,day,20200601,linear
154,day,20200602,linear
155,day,20200603,linear
156,day,20200604,linear
157,day,20200605,linear
158,day,20200606,linear
159,day,20200607,linear
160,day,20200608,linear
161,day,20200609,linear
162,day,20200610,linear
163,day,20200611,linear
164,day,20200612,linear
165,day,20200613,linear
166,day,20200614,linear
167,day,20200615,linear
168,day,20200616,linear
169,day,20200617,linear
170,day,20200618,linear
171,day,20200619,linear
172,day,20200620,linear
173,day,20200621,linear
174,day,20200622,linear
175,day,20200623,linear
176,day,20200624,linear
177,day,20200625,linear
178,day,20200626,linear
179,day,20200627,linear
180,day,20200628,linear
181,day,20200629,linear
182,day,20200630,linear
183,day,20200701,linear
184,day,20200702,linear
185,day,20200703,linear
186,day,20200704,linear
187,day,20200705,linear
188,day,20200706,linear
189,day,20200707,linear
190,day,20200708,linear
191,day,20200709,linear
192,day,20200710,linear
193,day,20200711,linear
194,day,20200712,linear
195,day,20200713,linear
196,day,20200714,linear
197,day,20200715,linear
198,day,20200716,linear
199,day,20200717,linear
200,day,20200718,linear
201,day,20200719,linear
202,day,20200720,linear
203,day,20200721,linear
204,day,20200722,linear
205,day,20200723,linear
206,day,20200724,linear
207,day,20200725,linear
208,day,20200726,linear
209,day,20200727,linear
210,day,20200728,linear
211,day,20200729,linear
212,day,20200730,linear
213,day,20200731,linear
214,day,20200801,linear
215,day,20200802,linear
216,day,20200803,linear
217,day,20200804,linear
218,day,20200805,linear
219,day,20200806,linear
220,day,20200807,linear
221,day,20200808,linear
222,day,20200809,linear
223,day,20200810,linear
224,day,20200811,linear
225,day,20200812,linear
226,day,20200813,linear
227,day,20200814,linear
228,day,20200815,linear
229,day,20200816,linear
230,day,20200817,linear
231,day,20200818,linear
232,day,20200819,linear
233,day,20200820,linear
234,day,20200821,linear
235,day,20200822,linear
236,day,20200823,linear
237,day,20200824,linear
238,day,20200825,linear
239,day,20200826,linear
240,day,20200827,linear
241,day,20200828,linear
242,day,20200829,linear
243,day,20200830,linear
244,day,20200831,linear
245,day,20200901,linear
246,day,20200902,linear
247,day,20200903,linear
248,day,20200904,linear
249,day,20200905,linear
250,day,20200906,linear
251,day,20200907,linear
252,day,20200908,linear
253,day,20200909,linear
254,day,20200910,linear
255,day,20200911,linear
256,day,20200912,linear
257,day,20200913,linear
258,day,20200914,linear
259,day,20200915,linear
260,day,20200916,linear
261,day,20200917,linear
262,day,20200918,linear
263,day,20200919,linear
264,day,20200920,linear
265,day,20200921,linear
266,day,20200922,linear
267,day,20200923,linear
268,day,20200924,linear
269,day,20200925,linear
270,day,20200926,linear
271,day,20200927,linear
272,day,20200928,linear
273,day,20200929,linear
274,day,20200930,linear
275,day,20201001,linear
276,day,20201002,linear
277,day,20201003,linear
278,day,20201004,linear
279,day,20201005,linear
280,day,20201006,linear
281,day,20201007,linear
282,day,20201008,linear
283,day,20201009,linear
284,day,20201010,linear
285,day,20201011,linear
286,day,20201012,linear
287,day,20201013,linear
288,day,20201014,linear
289,day,20201015,linear
290,day,20201016,linear
291,day,20201017,linear
292,day,20201018,linear
293,day,20201019,linear
294,day,20201020,linear
295,day,20201021,linear
296,day,20201022,linear
297,day,20201023,linear
298,day,20201024,linear
299,day,20201025,linear
300,day,20201026,linear
301,day,20201027,linear
302,day,20201028,linear
303,day,20201029,linear
304,day,20201030,linear
305,day,20201031,linear
306,day,20201101,linear
307,day,20201102,linear
308,day,20201103,linear
309,day,20201104,linear
310,day,20201105,linear
311,day,20201106,linear
312,day,20201107,linear
313,day,20201108,linear
314,day,20201109,linear
315,day,20201110,linear
316,day,20201111,linear
317,day,20201112,linear
318,day,20201113,linear
319,day,20201114,linear
320,day,20201115,linear
321,day,20201116,linear
322,day,20201117,linear
323,day,20201118,linear
324,day,20201119,linear
325,day,20201120,linear
326,day,20201121,linear
327,day,20201122,linear
328,day,20201123,linear
329,day,20201124,linear
330,day,20201125,linear
331,day,20201126,linear
332,day,20201127,linear
333,day,20201128,linear
334,day,20201129,linear
335,day,20201130,linear
336,day,20201201,linear
337,day,20201202,linear
338,day,20201203,linear
339,day,20201204,linear
340,day,20201205,linear
341,day,20201206,linear
342,day,20201207,linear
343,day,20201208,linear
344,day,20201209,linear
345,day,20201210,linear
346,day,20201211,linear
347,day,20201212,linear
348,day,20201213,linear
349,day,20201214,linear
350,day,20201215,linear
351,day,20201216,linear
352,day,20201217,linear
353,day,20201218,linear
354,day,20201219,linear
355,day,20201220,linear
356,day,20201221,linear
357,day,20201222,linear
358,day,20201223,linear
359,day,20201224,linear
360,day,20201225,linear
361,day,20201226,linear
362,day,20201227,linear
363,day,20201228,linear
364,day,20201229,linear
365,day,20201230,linear
366,day,20201231,linear